pixel,mlat,mlon,area_km,Mn.Avg.Dens,Mn.CV.Dens
2361,31.2,238.8,105.6667042,0.000101693,0.298776531
2362,31.2,238.9,105.6667042,0.00010551,0.303525641
2363,31.2,239,105.6667042,9.75E-05,0.311225517
2364,31.2,239.1,105.6667042,8.13E-05,0.317928687
2365,31.2,239.2,105.6667042,7.50E-05,0.318926943
2366,31.2,239.3,105.6667042,6.81E-05,0.314857481
2367,31.2,239.4,105.6667042,6.33E-05,0.309019706
2368,31.2,239.5,105.6667042,6.09E-05,0.302922224
2369,31.2,239.6,105.6667042,5.86E-05,0.296372639
2370,31.2,239.7,105.6667042,6.61E-05,0.287875699
2371,31.2,239.8,105.6667042,5.96E-05,0.284213743
2372,31.2,239.9,105.6667042,5.82E-05,0.28123152
2373,31.2,240,105.6667042,6.08E-05,0.279686332
2374,31.2,240.1,105.6667042,6.32E-05,0.282335034
2375,31.2,240.2,105.6667042,6.70E-05,0.28214337
2376,31.2,240.3,105.6667042,7.07E-05,0.287323634
2377,31.2,240.4,105.6667042,8.14E-05,0.295246655
2378,31.2,240.5,105.6667042,9.50E-05,0.304396945
2379,31.2,240.6,105.6667042,0.000112827,0.313310335
2380,31.2,240.7,105.6667042,0.000139544,0.318954475
2381,31.2,240.8,105.6667042,0.000166153,0.320584412
2382,31.2,240.9,105.6667042,0.000213209,0.320465719
2383,31.2,241,105.6667042,0.000239434,0.325483789
2384,31.2,241.1,105.6667042,0.000265569,0.328735245
2385,31.2,241.2,105.6667042,0.000413149,0.331861249
2386,31.2,241.3,105.6667042,0.00057252,0.336492235
2387,31.2,241.4,105.6667042,0.000727843,0.340886174
2388,31.2,241.5,105.6667042,0.001035828,0.345565273
2508,31.3,234.9,105.5570444,2.10E-09,0.272103009
2509,31.3,235,105.5570444,3.57E-09,0.267689096
2510,31.3,235.1,105.5570444,7.11E-09,0.265212646
2511,31.3,235.2,105.5570444,1.16E-08,0.264061353
2512,31.3,235.3,105.5570444,2.09E-08,0.264111583
2513,31.3,235.4,105.5570444,3.93E-08,0.266829285
2514,31.3,235.5,105.5570444,5.96E-08,0.264633012
2515,31.3,235.6,105.5570444,1.14E-07,0.261478189
2516,31.3,235.7,105.5570444,2.22E-07,0.261911477
2517,31.3,235.8,105.5570444,3.96E-07,0.261528424
2518,31.3,235.9,105.5570444,7.17E-07,0.262063064
2519,31.3,236,105.5570444,1.27E-06,0.261718932
2520,31.3,236.1,105.5570444,2.17E-06,0.258193248
2521,31.3,236.2,105.5570444,3.29E-06,0.253832338
2522,31.3,236.3,105.5570444,5.64E-06,0.252068862
2523,31.3,236.4,105.5570444,8.43E-06,0.254361817
2524,31.3,236.5,105.5570444,1.35E-05,0.259379937
2525,31.3,236.6,105.5570444,1.94E-05,0.261901394
2526,31.3,236.7,105.5570444,2.69E-05,0.264772069
2527,31.3,236.8,105.5570444,3.99E-05,0.267601749
2528,31.3,236.9,105.5570444,5.31E-05,0.272567012
2529,31.3,237,105.5570444,7.33E-05,0.28070175
2530,31.3,237.1,105.5570444,8.96E-05,0.284196449
2531,31.3,237.2,105.5570444,0.000114741,0.286793075
2532,31.3,237.3,105.5570444,0.000143557,0.286898802
2533,31.3,237.4,105.5570444,0.000134406,0.283271363
2534,31.3,237.5,105.5570444,0.000162374,0.281468532
2535,31.3,237.6,105.5570444,0.000187771,0.285255384
2536,31.3,237.7,105.5570444,0.000216468,0.287656486
2537,31.3,237.8,105.5570444,0.00021457,0.285145901
2538,31.3,237.9,105.5570444,0.000217443,0.294714063
2539,31.3,238,105.5570444,0.000219814,0.303754363
2540,31.3,238.1,105.5570444,0.000216012,0.308754332
2541,31.3,238.2,105.5570444,0.000207157,0.312494352
2542,31.3,238.3,105.5570444,0.000186504,0.31804619
2543,31.3,238.4,105.5570444,0.000167425,0.322395971
2544,31.3,238.5,105.5570444,0.000161264,0.31884171
2545,31.3,238.6,105.5570444,0.000138345,0.314401175
2546,31.3,238.7,105.5570444,0.000123573,0.310673378
2547,31.3,238.8,105.5570444,0.000110639,0.309357399
2548,31.3,238.9,105.5570444,0.000104375,0.314441936
2549,31.3,239,105.5570444,0.000106873,0.322871185
2550,31.3,239.1,105.5570444,9.41E-05,0.329283511
2551,31.3,239.2,105.5570444,8.59E-05,0.333297234
